Dane;symbol_ty;symbol;nazwa
POS powiat ostrowski;4;POS;powiat ostrowski
POT powiat ostrzeszowski;4;POT;powiat ostrzeszowski
PP powiat pilski;3;PP;powiat pilski
PPL powiat pleszewski;4;PPL;powiat pleszewski
PZ powiat poznañski;3;PZ;powiat poznañski
PRA powiat rawicki;4;PRA;powiat rawicki
PSR powiat œredzki;4;PSR;powiat œredzki
PSE powiat œremski;4;PSE;powiat œremski
PSZ powiat szamotulski;4;PSZ;powiat szamotulski
PSL powiat s³upecki;4;PSL;powiat s³upecki
PTU powiat turecki;4;PTU;powiat turecki
PWA powiat w¹growiecki;4;PWA;powiat w¹growiecki
PWL powiat wolsztyñski;4;PWL;powiat wolsztyñski
PWR powiat wrzesiñski;4;PWR;powiat wrzesiñski
PZL powiat z³otowski;4;PZL;powiat z³otowski
RK Krosno;3;RK;Krosno
RP Przemyœl;3;RP;Przemyœl
RZ Rzeszów;3;RZ;Rzeszów
RT Tarnobrzeg;3;RT;Tarnobrzeg
RBI powiat bieszczadzki;4;RBI;powiat bieszczadzki
RBR powiat brzozowski;4;RBR;powiat brzozowski
RDE powiat dêbicki;4;RDE;powiat dêbicki
RJA powiat jaros³awski;4;RJA;powiat jaros³awski
RJS powiat jasielski;4;RJS;powiat jasielski
RKL powiat kolbuszowski;4;RKL;powiat kolbuszowski
RKR powiat kroœnieñski;4;RKR;powiat kroœnieñski
RLS powiat leski;4;RLS;powiat leski
RLE powiat le¿ajski;4;RLE;powiat le¿ajski
RLU powiat lubaczowski;4;RLU;powiat lubaczowski
RMI powiat mielecki;4;RMI;powiat mielecki
RNI powiat ni¿añski;4;RNI;powiat ni¿añski
RPR powiat przemyski;4;RPR;powiat przemyski
RPZ powiat przeworski;4;RPZ;powiat przeworski
RRS powiat ropczycko-sêdziszowski;4;RRS;powiat ropczycko-sêdziszowski
RZE powiat rzeszowski;4;RZE;powiat rzeszowski
RSA powiat sanocki;4;RSA;powiat sanocki
RST powiat stalowowolski;4;RST;powiat stalowowolski
RSR powiat strzy¿owski;4;RSR;powiat strzy¿owski
